Team,Name,DraftYr,Position,GamesPlayed,Receptions,Targets,Yards,Avg,Touchdowns,Long,BigPlays,YardsPerGame,Fumble,FumblesLost,YardsAfterCatch,FirstDowns,Year
NYG,Sterling Shepard,2016,WR,16,65,105,683,11,8,32,6,43,0,0,258,42,2016
NE,Chris Hogan,#N/A,WR,15,38,57,680,18,4,79,11,45,1,1,231,23,2016
SD,Travis Benjamin,2012,WR,14,47,76,677,14,4,54,10,48,3,2,257,26,2016
SF,Jeremy Kerley,2011,WR,16,64,115,667,10,3,33,8,42,1,0,195,33,2016
ATL,Mohamed Sanu,2012,WR,15,59,81,653,11,4,59,6,44,1,1,281,33,2016
HOU,Will Fuller,2016,WR,14,47,92,635,14,2,53,11,45,0,0,213,31,2016
TB,Adam Humphries,#N/A,WR,15,55,82,622,11,2,42,7,42,0,0,324,27,2016
BUF,Robert Woods,2013,WR,13,51,74,613,12,1,34,10,47,0,0,153,32,2016
GB,Randall Cobb,2011,WR,13,60,84,610,10,4,47,7,47,0,0,366,36,2016
CIN,Tyler Boyd,2016,WR,16,54,81,603,11,1,30,9,38,1,1,207,33,2016
SEA,Tyler Lockett,2015,WR,15,41,67,597,15,1,57,9,40,0,0,226,22,2016
DAL,Terrance Williams,2013,WR,16,44,61,594,14,4,47,6,37,1,1,157,34,2016
PIT,Eli Rogers,#N/A,WR,13,48,66,594,12,3,39,11,46,0,0,201,24,2016
KC,Tyreek Hill,#N/A,WR,16,61,83,593,10,6,49,8,37,1,0,269,31,2016
NYJ,Robby Anderson,#N/A,WR,16,42,78,587,14,2,52,10,37,1,1,118,18,2016
NYG,Victor Cruz,#N/A,WR,15,39,72,586,15,1,48,10,39,1,1,193,25,2016
DET,Anquan Boldin,#N/A,WR,16,67,95,584,9,8,35,5,37,0,0,215,41,2016
ATL,Taylor Gabriel,#N/A,WR,13,35,49,579,17,6,76,8,45,0,0,285,21,2016
ARI,JJ Nelson,2015,WR,15,34,74,568,17,6,80,9,38,1,1,152,26,2016
LAR,Brian Quick,2012,WR,16,41,79,564,14,3,65,7,35,0,0,180,22,2016
KC,Jeremy Maclin,2008,WR,12,44,76,536,12,2,44,6,45,0,0,129,29,2016
KC,Chris Conley,2015,WR,16,44,69,530,12,0,39,4,33,1,0,151,30,2016
IND,Phillip Dorsett,2015,WR,15,33,60,528,16,2,64,8,35,1,0,138,20,2016
TEN,Tajae Sharpe,2016,WR,16,41,83,522,13,2,34,7,33,0,0,91,27,2016
ARI,John Brown,2014,WR,15,39,72,517,13,2,30,5,35,0,0,110,28,2016
SEA,Jermaine Kearse,2012,WR,16,41,90,511,13,1,36,7,32,0,0,140,24,2016
LAR,Tavon Austin,2013,WR,15,58,107,509,9,3,43,6,34,1,1,250,25,2016
ATL,Julio Jones,2011,WR,16,136,204,1871,14,8,70,25,117,3,1,620,93,2015
PIT,Antonio Brown,2010,WR,16,136,195,1834,14,10,59,25,115,1,1,570,84,2015
HOU,DeAndre Hopkins,2013,WR,16,111,192,1521,14,11,61,19,95,1,0,201,83,2015
NYJ,Brandon Marshall,2012,WR,16,109,174,1502,14,14,69,19,94,3,2,395,76,2015
NYG,Odell Beckham,2014,WR,15,96,159,1450,15,13,87,19,97,2,0,516,67,2015
JAX,Allen Robinson,2014,WR,16,80,153,1400,18,14,90,31,88,0,0,341,61,2015
DEN,Demaryius Thomas,2010,WR,16,105,176,1304,12,6,72,14,82,2,2,418,63,2015
CIN,AJ Green,2020,WR,16,86,132,1297,15,10,80,19,81,1,1,345,63,2015
ARI,Larry Fitzgerald,#N/A,WR,16,109,145,1215,11,9,44,17,76,2,2,458,65,2015
DET,Calvin Johnson,#N/A,WR,16,88,150,1214,14,9,57,16,76,1,1,285,65,2015
TB,Mike Evans,2014,WR,15,74,147,1206,16,3,68,21,80,1,1,226,63,2015
MIA,Jarvis Landry,2014,WR,16,110,165,1157,11,4,50,10,72,0,0,547,60,2015
NO,Brandin Cooks,2014,WR,16,84,129,1138,14,9,71,18,71,1,0,378,45,2015
DEN,Emmanuel Sanders,2010,WR,15,76,137,1135,15,6,75,12,76,1,1,337,51,2015
IND,TY Hilton,2012,WR,16,69,135,1124,16,5,87,17,70,1,0,376,49,2015
KC,Jeremy Maclin,2008,WR,15,87,124,1088,13,8,61,14,73,2,1,324,49,2015
OAK,Amari Cooper,2015,WR,16,72,130,1070,15,6,68,16,67,1,1,395,45,2015
SEA,Doug Baldwin,#N/A,WR,16,78,104,1069,14,14,80,16,67,1,0,426,47,2015
BUF,Sammy Watkins,2014,WR,13,60,95,1047,18,9,63,18,81,0,0,125,41,2015
JAX,Allen Hurns,2014,WR,15,64,104,1031,16,10,80,19,69,2,1,343,48,2015
NYJ,Eric Decker,2010,WR,15,80,131,1027,13,12,35,16,69,1,1,220,60,2015
ARI,John Brown,2014,WR,15,65,101,1003,15,7,68,11,67,1,1,329,49,2015
PHI,Jordan Matthews,2014,WR,16,85,127,997,12,8,78,14,62,2,1,421,44,2015
VNO,Willie Snead,2014,WR,15,69,102,984,14,3,63,15,66,2,1,334,44,2015
CLE,Travis Benjamin,2012,WR,16,68,124,966,14,5,61,12,60,1,1,301,39,2015
BAL,Kamar Aiken,#N/A,WR,16,75,127,944,13,5,48,11,59,1,1,202,53,2015
OAK,Michael Crabtree,2009,WR,16,85,146,922,11,9,38,15,58,1,0,275,45,2015
GB,James Jones,#N/A,WR,16,50,100,890,18,8,65,18,56,1,0,211,39,2015
ARI,Michael Floyd,2012,WR,15,52,89,849,16,6,60,13,57,0,0,215,40,2015
DAL,Terrance Williams,2013,WR,16,52,94,840,16,3,42,13,53,0,0,210,36,2015
GB,Randall Cobb,2011,WR,16,79,129,829,11,6,53,11,52,0,0,417,42,2015
CIN,Marvin Jones,2012,WR,16,65,103,816,13,4,47,13,51,0,0,275,33,2015
DET,Golden Tate,2010,WR,16,90,128,813,9,6,43,7,51,1,1,525,50,2015
CHI,Alshon Jeffery,2012,WR,9,54,93,807,15,4,50,14,90,1,0,190,43,2015
NYG,Rueben Randle,2012,WR,16,57,90,797,14,8,72,13,50,0,0,194,35,2015
SF,Anquan Boldin,#N/A,WR,14,69,110,789,11,4,51,10,56,1,1,272,35,2015
WSH,Pierre Garcon,#N/A,WR,16,72,110,777,11,6,39,7,49,0,0,163,43,2015
PIT,Martavis Bryant,2014,WR,11,50,92,765,15,6,88,10,70,1,1,350,25,2015
PIT,Markus Wheaton,2013,WR,16,44,79,749,17,5,72,9,47,0,0,163,32,2015
CAR,Ted Ginn ,#N/A,WR,15,44,96,739,17,10,74,10,49,0,0,250,36,2015
IND,Donte Moncrief,2014,WR,16,64,105,733,12,6,33,9,46,0,0,269,40,2015
SD,Keenan Allen,2013,WR,8,67,89,725,11,4,38,8,91,0,0,261,34,2015
MIN,Stefon Diggs,2015,WR,13,52,84,720,14,4,40,13,55,2,0,300,31,2015
NE,Julian Edelman,#N/A,WR,9,61,88,692,11,7,59,8,77,1,1,327,37,2015
SEA,Jermaine Kearse,2012,WR,16,49,68,685,14,5,50,13,43,1,0,224,32,2015
STL,Kenny Britt,2009,WR,16,36,72,681,19,3,60,11,43,0,0,111,29,2015
BAL,Steve Smith,#N/A,WR,7,46,73,670,15,3,50,13,96,0,0,263,28,2015
SEA,Tyler Lockett,2015,WR,16,51,68,664,13,6,49,9,42,0,0,255,31,2015
SF,Torrey Smith,2011,WR,16,33,61,663,20,4,76,8,41,0,0,206,23,2015
MIA,Rishard Matthews,2012,WR,11,43,61,662,15,4,53,10,60,0,0,244,31,2015
HOU,Nate Washington,#N/A,WR,14,47,95,658,14,4,49,9,47,0,0,155,33,2015
NE,Danny Amendola,#N/A,WR,14,65,87,648,10,3,41,5,46,0,0,280,32,2015
WSH,Jamison Crowder,2015,WR,16,59,79,604,10,2,44,7,38,2,0,251,34,2015
SD,Malcom Floyd,#N/A,WR,15,30,69,561,19,3,70,10,37,1,1,101,19,2015
BUF,Robert Woods,2013,WR,14,47,81,552,12,3,37,5,39,2,1,148,27,2015
TEN,Dorial Green-Beckham,2015,WR,16,32,66,549,17,4,47,10,34,0,0,149,30,2015
TB,Vincent Jackson,#N/A,WR,10,33,64,543,17,3,36,13,54,0,0,121,28,2015
DAL,Cole Beasley,#N/A,WR,16,52,74,536,10,5,30,7,34,1,1,302,31,2015
WSH,DeSean Jackson,2008,WR,10,30,49,528,18,4,77,10,53,0,0,155,15,2015
CLE,Brian Hartline,2009,WR,12,46,74,523,11,2,41,4,44,1,0,169,30,2015
NO,Marques Colston,#N/A,WR,13,45,67,520,12,4,53,6,40,0,0,197,26,2015
NE,Brandon LaFell,2010,WR,11,37,74,515,14,0,54,7,47,0,0,232,22,2015
ATL,Roddy White,#N/A,WR,16,43,70,506,12,1,25,6,32,0,0,116,27,2015
IND,Andre Johnson,#N/A,WR,16,41,77,503,12,4,35,7,31,0,0,154,31,2015
SD,Stevie Johnson,#N/A,WR,10,45,65,497,11,3,34,7,50,1,0,276,29,2015
MIA,DeVante Parker,2015,WR,14,26,51,494,19,3,49,9,35,0,0,98,20,2015
SD,Dontrelle Inman,#N/A,WR,14,35,65,486,14,3,68,6,35,2,1,168,21,2015
CAR,Jerricho Cotchery,#N/A,WR,14,39,53,485,12,3,59,6,35,0,0,177,26,2015
HOU,Cecil Shorts,2011,WR,11,42,74,484,12,2,42,5,44,1,1,223,27,2015
GB,Davante Adams,2014,WR,13,50,93,483,10,1,40,6,37,0,0,124,20,2015
OAK,Seth Roberts,#N/A,WR,16,32,55,480,15,5,43,7,30,0,0,138,21,2015
MIN,Mike Wallace,2008,WR,16,39,72,473,12,2,34,6,30,0,0,157,27,2015
STL,Tavon Austin,2013,WR,16,52,86,473,9,5,66,5,30,1,1,336,21,2015
PIT,Antonio Brown,2010,WR,16,129,182,1698,13,13,63,19,106,1,1,568,85,2014
DEN,Demaryius Thomas,2010,WR,16,111,184,1619,15,11,86,25,101,0,0,647,69,2014
ATL,Julio Jones,2011,WR,15,104,164,1593,15,6,79,31,106,2,1,553,76,2014
GB,Jordy Nelson,#N/A,WR,16,98,151,1519,16,13,80,19,95,0,0,481,71,2014
DEN,Emmanuel Sanders,2010,WR,16,101,141,1404,14,9,48,24,88,1,0,370,69,2014
IND,TY Hilton,2012,WR,15,82,130,1345,16,7,73,21,90,3,1,372,62,2014
DET,Golden Tate,2010,WR,16,99,142,1331,13,4,73,17,83,1,0,691,58,2014
DAL,Dez Bryant,2010,WR,16,88,138,1320,15,16,68,22,83,0,0,352,60,2014
PHI,Jeremy Maclin,2008,WR,16,85,143,1318,16,10,72,21,82,0,0,489,56,2014
NYG,Odell Beckham,2014,WR,12,91,132,1305,14,12,80,16,109,0,0,427,57,2014
GB,Randall Cobb,2011,WR,16,91,126,1287,14,12,70,24,80,1,1,556,71,2014
HOU,DeAndre Hopkins,2013,WR,16,76,127,1210,16,6,76,20,76,2,1,383,57,2014
WSH,DeSean Jackson,2008,WR,15,56,94,1169,21,6,81,16,78,0,0,393,35,2014
CHI,Alshon Jeffery,2012,WR,16,85,145,1133,13,10,74,17,71,0,0,473,60,2014
DET,Calvin Johnson,#N/A,WR,13,71,128,1077,15,8,67,16,83,0,0,244,59,2014
BAL,Steve Smith Sr,#N/A,WR,16,79,133,1065,14,6,80,15,67,1,1,343,45,2014
SF,Anquan Boldin,#N/A,WR,16,83,130,1062,13,5,76,14,66,0,0,351,56,2014
TB,Mike Evans,2014,WR,15,68,124,1051,16,12,56,20,70,0,0,179,46,2014
CIN,AJ Green,2020,WR,13,69,116,1041,15,6,81,13,80,2,2,298,46,2014
CAR,Kelvin Benjamin,2014,WR,16,73,146,1008,14,9,51,14,63,1,1,173,50,2014
TB,Vincent Jackson,#N/A,WR,16,70,143,1002,14,2,50,12,63,1,1,164,50,2014
BUF,Sammy Watkins,2014,WR,16,65,128,982,15,6,84,14,61,1,1,310,47,2014
NE,Julian Edelman,#N/A,WR,14,92,135,972,11,4,69,7,69,2,0,448,49,2014
NYJ,Eric Decker,2010,WR,15,74,115,962,13,5,74,12,64,0,0,252,47,2014
NE,Brandon LaFell,2010,WR,16,74,119,953,13,7,56,10,60,1,1,356,50,2014
NYG,Rueben Randle,2012,WR,16,71,127,938,13,3,49,12,59,0,0,200,48,2014
HOU,Andre Johnson,#N/A,WR,15,85,147,936,11,3,35,14,62,3,3,330,49,2014
NO,Kenny Stills,2013,WR,15,63,85,931,15,3,69,10,62,1,0,178,47,2014
ATL,Roddy White,#N/A,WR,14,80,122,921,12,7,39,14,66,3,1,158,54,2014
NO,Marques Colston,#N/A,WR,16,59,99,902,15,5,57,17,56,1,1,274,45,2014
PHI,Jordan Matthews,2014,WR,16,67,105,872,13,8,44,16,55,0,0,350,42,2014
MIA,Mike Wallace,2008,WR,16,67,115,862,13,10,50,10,54,1,1,251,47,2014
SD,Malcom Floyd,2008,WR,16,52,92,856,17,6,59,13,54,0,0,146,39,2014
ARI,Michael Floyd,2012,WR,16,47,99,841,18,6,63,15,53,3,1,110,34,2014
SEA,Doug Baldwin,#N/A,WR,16,66,98,825,13,3,49,15,52,0,0,314,42,2014
CLE,Andrew Hawkins,#N/A,WR,15,63,113,824,13,2,65,13,55,0,0,364,44,2014
CIN,Mohamed Sanu,2012,WR,16,56,98,790,14,5,76,9,49,0,0,337,37,2014
ARI,Larry Fitzgerald,#N/A,WR,14,63,103,784,12,2,80,11,56,1,1,331,39,2014
SD,Keenan Allen,2013,WR,14,77,121,783,10,4,35,6,56,1,1,319,41,2014
IND,Reggie Wayne,#N/A,WR,15,64,116,779,12,2,80,10,52,1,1,213,40,2014
SD,Eddie Royal,#N/A,WR,16,62,91,778,13,7,47,14,49,1,1,335,39,2014
BAL,Torrey Smith,2011,WR,16,49,93,767,16,11,53,13,48,0,0,163,38,2014
MIA,Jarvis Landry,2014,WR,16,84,111,758,9,5,25,6,47,1,0,443,48,2014
KC,Dwayne Bowe,#N/A,WR,15,60,96,754,13,0,37,9,50,2,0,237,42,2014
WSH,Pierre Garcon,#N/A,WR,16,68,105,752,11,3,70,8,47,0,0,293,32,2014
STL,Kenny Britt,2009,WR,16,48,84,748,16,3,63,13,47,0,0,165,33,2014
MIN,Greg Jennings,#N/A,WR,16,59,92,742,13,6,38,9,46,1,0,195,40,2014
CHI,Brandon Marshall,2012,WR,13,61,105,721,12,8,47,5,56,1,1,233,41,2014
TEN,Kendall Wright,2012,WR,14,57,93,715,13,6,48,10,51,1,1,362,33,2014
BUF,Robert Woods,2013,WR,16,65,104,699,11,5,37,11,44,1,1,205,35,2014
SF,Michael Crabtree,2009,WR,16,68,108,698,10,4,51,10,44,0,0,256,35,2014
ARI,John Brown,2014,WR,16,48,103,696,15,5,75,11,44,0,0,187,31,2014
OAK,Andre Holmes,2011,WR,16,47,98,693,15,4,77,9,43,0,0,198,32,2014
JAX,Allen Hurns,2014,WR,16,51,97,677,13,6,63,11,42,0,0,217,26,2014
OAK,James Jones,#N/A,WR,16,73,111,666,9,6,42,6,42,3,1,227,40,2014
TEN,Nate Washington,#N/A,WR,16,40,72,647,16,2,80,11,40,0,0,148,26,2014
PIT,Markus Wheaton,2013,WR,16,53,87,644,12,2,47,5,40,0,0,161,33,2014
DAL,Terrance Williams,2013,WR,16,37,64,621,17,8,51,10,39,0,0,99,30,2014
CLE,Taylor Gabriel,#N/A,WR,16,36,71,621,17,1,70,10,39,0,0,238,26,2014
MIN,Jarius Wright,2012,WR,16,42,62,588,14,2,87,9,37,0,0,333,25,2014
CAR,Jerricho Cotchery,#N/A,WR,15,48,78,580,12,1,47,7,39,0,0,200,30,2014
PHI,Riley Cooper,2010,WR,16,55,95,577,11,3,50,5,36,1,1,157,25,2014
CLE,Miles Austin,#N/A,WR,12,47,70,568,12,2,31,7,47,0,0,213,34,2014
JAX,Cecil Shorts,2011,WR,13,53,110,557,11,1,53,7,43,1,1,253,26,2014
ATL,Harry Douglas,#N/A,WR,12,51,75,556,11,2,41,3,46,0,0,230,28,2014
NO,Brandin Cooks,2014,WR,10,53,70,550,10,3,50,4,55,0,0,174,25,2014
PIT,Martavis Bryant,2014,WR,10,26,49,549,21,8,94,8,55,0,0,164,16,2014
JAX,Allen Robinson,2014,WR,10,48,81,548,11,2,54,5,55,0,0,160,26,2014
SEA,Jermaine Kearse,2012,WR,15,38,67,537,14,1,60,7,36,0,0,238,21,2014
ATL,Devin Hester,#N/A,WR,16,38,59,504,13,2,46,7,32,1,1,254,21,2014
TEN,Justin Hunter,2013,WR,12,28,68,498,18,3,75,7,42,0,0,185,20,2014
SEA,Percy Harvin,2008,WR,13,51,78,483,10,1,45,6,37,1,0,269,23,2014
MIN,Charles Johnson,#N/A,WR,12,31,58,475,15,2,56,9,40,1,0,163,19,2014
MIA,Brian Hartline,2009,WR,16,39,63,474,12,2,35,4,30,1,0,139,27,2014
DEN,Wes Welker,#N/A,WR,14,49,64,464,10,2,39,5,33,0,0,170,24,2014
CLE,Josh Gordon,#N/A,WR,14,87,159,1646,19,9,95,30,118,0,0,637,64,2013
PIT,Antonio Brown,2010,WR,16,110,165,1499,14,8,56,23,94,0,0,602,69,2013
DET,Calvin Johnson,#N/A,WR,14,84,156,1492,18,12,87,22,107,1,1,496,69,2013
DEN,Demaryius Thomas,2010,WR,16,92,143,1430,16,14,78,19,89,1,0,704,66,2013
CIN,AJ Green,2020,WR,16,98,180,1426,15,11,82,18,89,1,0,412,65,2013
CHI,Alshon Jeffery,2012,WR,16,89,150,1421,16,7,80,20,89,3,1,432,62,2013
HOU,Andre Johnson,#N/A,WR,16,109,181,1407,13,5,62,20,88,0,0,412,69,2013
WSH,Pierre Garcon,#N/A,WR,16,113,184,1346,12,5,53,16,84,1,1,667,60,2013
PHI,DeSean Jackson,2008,WR,16,82,126,1332,16,9,61,25,83,1,0,493,60,2013
GB,Jordy Nelson,#N/A,WR,16,85,126,1314,16,8,76,22,82,0,0,442,60,2013
CHI,Brandon Marshall,2012,WR,16,100,163,1295,13,12,44,16,81,0,0,307,70,2013
DEN,Eric Decker,2010,WR,16,87,137,1288,15,11,61,19,81,2,1,404,63,2013
DAL,Dez Bryant,2010,WR,16,93,160,1233,13,13,79,14,77,3,1,527,67,2013
TB,Vincent Jackson,#N/A,WR,16,78,159,1224,16,7,60,19,77,1,0,319,60,2013
SF,Anquan Boldin,#N/A,WR,16,85,130,1179,14,7,63,19,74,0,0,453,62,2013
BAL,Torrey Smith,2011,WR,16,65,139,1128,17,4,74,20,71,1,0,402,48,2013
IND,TY Hilton,2012,WR,16,82,138,1083,13,5,73,13,68,0,0,400,46,2013
TEN,Kendall Wright,2012,WR,16,94,140,1079,12,2,45,17,67,2,0,588,52,2013
ATL,Harry Douglas,#N/A,WR,16,85,133,1067,13,2,80,13,67,2,1,534,47,2013
NE,Julian Edelman,#N/A,WR,16,105,151,1056,10,6,44,9,66,0,0,493,54,2013
SD,Keenan Allen,2013,WR,15,71,105,1046,15,8,43,16,70,1,1,437,54,2013
ARI,Michael Floyd,2012,WR,16,65,112,1041,16,5,91,17,65,0,0,278,48,2013
MIA,Brian Hartline,2009,WR,16,76,134,1016,13,4,50,14,64,0,0,316,53,2013
NYG,Victor Cruz,#N/A,WR,14,73,123,998,14,4,70,10,71,1,1,264,45,2013
ARI,Larry Fitzgerald,#N/A,WR,16,82,136,954,12,10,75,11,60,1,1,351,49,2013
NO,Marques Colston,#N/A,WR,15,75,110,943,13,5,35,13,63,0,0,249,54,2013
MIA,Mike Wallace,2008,WR,16,73,142,930,13,5,57,11,58,0,0,291,46,2013
TEN,Nate Washington,#N/A,WR,16,58,104,919,16,3,77,11,57,0,0,240,43,2013
SEA,Golden Tate,2010,WR,16,64,98,898,14,5,80,12,56,1,0,520,41,2013
NYG,Hakeem Nicks,2008,WR,15,56,102,896,16,0,57,14,60,0,0,281,38,2013
OAK,Rod Streater,#N/A,WR,16,60,100,888,15,4,66,10,56,1,1,329,39,2013
PHI,Riley Cooper,2010,WR,16,47,84,835,18,8,63,13,52,0,0,246,33,2013
GB,James Jones,#N/A,WR,14,59,93,817,14,3,83,12,58,2,1,384,30,2013
MIN,Greg Jennings,#N/A,WR,15,68,106,804,12,4,70,11,54,0,0,357,36,2013
HOU,DeAndre Hopkins,2013,WR,16,52,93,802,15,2,66,12,50,1,1,188,38,2013
DEN,Wes Welker,#N/A,WR,13,73,110,778,11,10,33,12,60,0,0,333,49,2013
SEA,Doug Baldwin,#N/A,WR,16,50,73,778,16,5,52,14,49,0,0,249,36,2013
JAX,Cecil Shorts III,#N/A,WR,13,66,125,777,12,3,59,10,60,0,0,292,41,2013
CAR,Steve Smith Sr,#N/A,WR,15,64,109,745,12,4,44,4,50,0,0,183,44,2013
PIT,Emmanuel Sanders,2010,WR,16,67,112,740,11,6,55,12,46,1,0,303,37,2013
DAL,Terrance Williams,2013,WR,16,44,74,736,17,5,82,12,46,1,1,219,31,2013
MIN,Jerome Simpson,#N/A,WR,16,48,102,726,15,1,51,12,45,1,0,196,35,2013
CIN,Marvin Jones ,#N/A,WR,16,51,80,712,14,10,45,10,45,0,0,232,36,2013
ATL,Roddy White,#N/A,WR,13,63,99,711,11,3,39,8,55,2,1,127,37,2013
OAK,Denarius Moore,2011,WR,13,46,86,695,15,5,73,9,54,0,0,263,36,2013
GB,Jarrett Boykin,2012,WR,16,49,82,681,14,3,52,10,43,0,0,259,34,2013
KC,Dwayne Bowe,#N/A,WR,15,57,105,673,12,5,34,9,45,0,0,202,39,2013
NO,Kenny Stills,2013,WR,16,32,51,641,20,5,76,7,40,0,0,198,24,2013
NE,Danny Amendola,#N/A,WR,12,54,83,633,12,2,57,8,53,0,0,269,37,2013
SD,Eddie Royal,#N/A,WR,15,47,67,631,13,8,54,12,42,0,0,363,33,2013
CAR,Brandon LaFell,2010,WR,16,49,88,627,13,5,79,5,39,1,0,276,31,2013
NYG,Rueben Randle,2012,WR,16,41,80,611,15,6,37,16,38,1,0,211,28,2013
PIT,Jerricho Cotchery,#N/A,WR,16,46,76,602,13,10,36,9,38,0,0,232,36,2013
BUF,Stevie Johnson,#N/A,WR,12,52,100,597,12,3,45,6,50,1,1,226,33,2013
KC,Donnie Avery,#N/A,WR,16,40,72,596,15,2,51,10,37,1,1,201,25,2013
BUF,Robert Woods,2013,WR,14,40,86,587,15,3,57,9,42,0,0,115,26,2013
ATL,Julio Jones,2011,WR,5,41,60,580,14,2,81,9,116,2,1,262,25,2013
STL,Chris Givens,2012,WR,16,34,83,569,17,0,47,13,36,1,1,264,27,2013
CAR,Ted Ginn ,#N/A,WR,16,36,68,556,15,5,47,10,35,0,0,229,24,2013
BAL,Marlon Brown,2013,WR,14,49,81,524,11,7,59,6,37,0,0,243,29,2013
NYJ,Jeremy Kerley,2011,WR,12,43,72,523,12,3,26,7,44,0,0,186,30,2013
NE,Aaron Dobson,2013,WR,12,37,74,519,14,4,81,6,43,1,0,205,25,2013
IND,Reggie Wayne,#N/A,WR,7,38,58,503,13,2,35,8,72,0,0,171,28,2013
DET,Kris Durham,#N/A,WR,16,38,86,490,13,2,40,7,31,1,1,143,25,2013
JAX,Ace Sanders,2013,WR,15,51,85,484,10,1,51,8,32,0,0,291,22,2013
SD,Vincent Brown,2011,WR,16,41,69,472,12,1,51,3,30,0,0,97,28,2013
ARI,Andre Roberts,2010,WR,16,43,76,471,11,2,34,3,29,0,0,122,22,2013
MIN,Cordarrelle Patterson,2013,WR,16,45,78,469,10,4,79,7,29,0,0,293,19,2013
DET,Calvin Johnson,#N/A,WR,16,122,205,1964,16,5,53,40,123,3,3,525,92,2012
HOU,Andre Johnson,#N/A,WR,16,112,164,1598,14,4,60,23,100,0,0,552,79,2012
CHI,Brandon Marshall,2012,WR,16,118,194,1508,13,11,56,18,94,2,0,360,75,2012
DEN,Demaryius Thomas,2010,WR,16,94,141,1434,15,10,71,29,90,3,3,538,60,2012
TB,Vincent Jackson,#N/A,WR,16,72,147,1384,19,8,95,24,87,0,0,394,61,2012
DAL,Dez Bryant,2010,WR,16,92,138,1382,15,12,85,19,86,2,1,463,54,2012
IND,Reggie Wayne,#N/A,WR,16,106,194,1355,13,5,33,22,85,1,1,371,73,2012
NE,Wes Welker,#N/A,WR,16,118,174,1354,12,6,59,13,85,2,1,702,72,2012
ATL,Roddy White,#N/A,WR,16,92,143,1351,15,7,59,18,84,1,0,346,73,2012
CIN,AJ Green,2020,WR,16,97,164,1350,14,11,73,16,84,2,1,427,61,2012
ATL,Julio Jones,2011,WR,16,79,129,1198,15,10,80,17,75,0,0,486,56,2012
CAR,Steve Smith Sr,#N/A,WR,16,73,138,1174,16,4,66,17,73,0,0,268,51,2012
NO,Marques Colston,#N/A,WR,16,83,132,1154,14,10,60,15,72,4,2,306,65,2012
SF,Michael Crabtree,2009,WR,16,85,126,1105,13,9,49,15,69,0,0,536,57,2012
NYG,Victor Cruz,#N/A,WR,16,86,143,1092,13,10,80,12,68,0,0,332,52,2012
MIA,Brian Hartline,2009,WR,16,74,128,1083,15,1,80,14,68,1,1,263,48,2012
DEN,Eric Decker,2010,WR,16,85,123,1064,13,13,55,11,67,0,0,290,52,2012
BUF,Stevie Johnson,#N/A,WR,16,79,148,1046,13,6,63,12,65,1,1,381,52,2012
NO,Lance Moore,#N/A,WR,15,65,105,1041,16,6,51,14,69,0,0,162,55,2012
TB,Mike Williams,2017,WR,16,63,127,996,16,9,65,17,62,0,0,350,44,2012
JAX,Cecil Shorts III,#N/A,WR,14,55,106,979,18,7,80,17,70,1,1,375,36,2012
